sensor_1,20.56 Kwh
sensor_4,13.43 Kwh
sensor_8,7.05 Kwh
sensor_3,12.1 Kwh
sensor_1,3.97 Kwh
sensor_7,13.38 Kwh
sensor_3,21.08 Kwh
sensor_1,7.13 Kwh
sensor_4,18.09 Kwh
sensor_7,5.78 Kwh
sensor_1,20.67 Kwh
sensor_8,17.52 Kwh
sensor_8,19.53 Kwh
sensor_4,10.04 Kwh
sensor_1,11.39 Kwh
sensor_3,21.38 Kwh
sensor_3,16.55 Kwh
sensor_7,20.51 Kwh
sensor_4,11.42 Kwh
sensor_4,8.18 Kwh
sensor_8,5.84 Kwh
sensor_4,9.08 Kwh
sensor_4,17.69 Kwh
sensor_3,20.98 Kwh
sensor_1,4.58 Kwh
sensor_7,21.39 Kwh
sensor_7,3.21 Kwh
sensor_7,18.29 Kwh
sensor_8,7.6 Kwh
sensor_1,21.32 Kwh
sensor_1,10.15 Kwh
sensor_3,16.73 Kwh
sensor_4,18.1 Kwh
sensor_1,13.48 Kwh
sensor_7,5.68 Kwh
sensor_4,12.25 Kwh
sensor_4,6.35 Kwh
sensor_7,15.65 Kwh
sensor_4,21.75 Kwh
sensor_4,4.64 Kwh
sensor_7,15.18 Kwh
sensor_4,13.08 Kwh
sensor_7,8.41 Kwh
sensor_1,6.94 Kwh
sensor_1,19.22 Kwh
sensor_7,13.05 Kwh
sensor_1,16.13 Kwh
sensor_3,14.37 Kwh
sensor_8,15.12 Kwh
sensor_4,5.39 Kwh
sensor_7,2.69 Kwh
sensor_8,8.09 Kwh
sensor_8,10.3 Kwh
sensor_4,10.85 Kwh
sensor_3,14.03 Kwh
sensor_3,19.75 Kwh
sensor_7,5.43 Kwh
sensor_1,8.89 Kwh
sensor_4,4.06 Kwh
sensor_3,21.01 Kwh
sensor_7,18.57 Kwh
sensor_1,6.59 Kwh
sensor_4,11.09 Kwh
sensor_8,15.03 Kwh
sensor_1,6.23 Kwh
sensor_1,9.17 Kwh
sensor_8,11.98 Kwh
sensor_7,10.8 Kwh
sensor_7,3.63 Kwh
sensor_8,5.44 Kwh
sensor_4,9.08 Kwh
sensor_1,8.91 Kwh
sensor_7,5.52 Kwh
sensor_8,15.98 Kwh
sensor_4,9.54 Kwh
sensor_1,11.9 Kwh
sensor_8,10.56 Kwh
sensor_3,17.4 Kwh
sensor_3,16.25 Kwh
sensor_3,6.61 Kwh
sensor_1,21.25 Kwh
sensor_1,11.87 Kwh
sensor_4,21.55 Kwh
sensor_8,18.34 Kwh
sensor_7,5.01 Kwh
