[{'source': 'sensor_3', 'data': '12.45 Kwh'}, {'source': 'sensor_1', 'data': '20.17 Kwh'}]
[{'source': 'sensor_3', 'data': '8.99 Kwh'}, {'source': 'sensor_1', 'data': '20.21 Kwh'}, {'source': 'sensor_4', 'data': '12.57 Kwh'}]
[{'source': 'sensor_4', 'data': '9.47 Kwh'}, {'source': 'sensor_3', 'data': '9.33 Kwh'}, {'source': 'sensor_1', 'data': '16.42 Kwh'}]
[{'source': 'sensor_1', 'data': '16.56 Kwh'}, {'source': 'sensor_4', 'data': '4.34 Kwh'}, {'source': 'sensor_3', 'data': '13.58 Kwh'}]
[{'source': 'sensor_1', 'data': '21.1 Kwh'}, {'source': 'sensor_3', 'data': '15.9 Kwh'}, {'source': 'sensor_4', 'data': '6.62 Kwh'}]
[{'source': 'sensor_3', 'data': '16.52 Kwh'}, {'source': 'sensor_1', 'data': '11.34 Kwh'}, {'source': 'sensor_4', 'data': '17.25 Kwh'}]
[{'source': 'sensor_3', 'data': '22.04 Kwh'}, {'source': 'sensor_4', 'data': '19.18 Kwh'}, {'source': 'sensor_1', 'data': '3.67 Kwh'}]
[{'source': 'sensor_3', 'data': '15.23 Kwh'}, {'source': 'sensor_1', 'data': '13.72 Kwh'}, {'source': 'sensor_4', 'data': '8.52 Kwh'}]
[{'source': 'sensor_3', 'data': '14.9 Kwh'}, {'source': 'sensor_4', 'data': '20.96 Kwh'}, {'source': 'sensor_1', 'data': '7.84 Kwh'}]
[{'source': 'sensor_1', 'data': '8.04 Kwh'}, {'source': 'sensor_3', 'data': '16.03 Kwh'}, {'source': 'sensor_4', 'data': '7.91 Kwh'}]
[{'source': 'sensor_3', 'data': '16.12 Kwh'}, {'source': 'sensor_1', 'data': '2.58 Kwh'}, {'source': 'sensor_4', 'data': '4.84 Kwh'}]
[{'source': 'sensor_1', 'data': '13.18 Kwh'}, {'source': 'sensor_3', 'data': '20.13 Kwh'}, {'source': 'sensor_4', 'data': '14.0 Kwh'}]
[{'source': 'sensor_4', 'data': '4.0 Kwh'}, {'source': 'sensor_1', 'data': '11.23 Kwh'}, {'source': 'sensor_3', 'data': '3.66 Kwh'}]
[{'source': 'sensor_4', 'data': '8.01 Kwh'}, {'source': 'sensor_1', 'data': '12.56 Kwh'}, {'source': 'sensor_3', 'data': '7.51 Kwh'}]
[{'source': 'sensor_1', 'data': '6.7 Kwh'}, {'source': 'sensor_4', 'data': '4.31 Kwh'}, {'source': 'sensor_3', 'data': '3.21 Kwh'}]
[{'source': 'sensor_4', 'data': '19.53 Kwh'}, {'source': 'sensor_3', 'data': '11.61 Kwh'}, {'source': 'sensor_1', 'data': '15.15 Kwh'}]
[{'source': 'sensor_3', 'data': '3.4 Kwh'}, {'source': 'sensor_1', 'data': '13.79 Kwh'}, {'source': 'sensor_4', 'data': '11.9 Kwh'}]
[{'source': 'sensor_1', 'data': '11.15 Kwh'}, {'source': 'sensor_4', 'data': '3.43 Kwh'}, {'source': 'sensor_3', 'data': '6.98 Kwh'}]
[{'source': 'sensor_4', 'data': '6.75 Kwh'}, {'source': 'sensor_1', 'data': '5.9 Kwh'}, {'source': 'sensor_3', 'data': '7.67 Kwh'}]
[{'source': 'sensor_4', 'data': '20.15 Kwh'}, {'source': 'sensor_3', 'data': '11.18 Kwh'}, {'source': 'sensor_1', 'data': '21.9 Kwh'}]
[{'source': 'sensor_1', 'data': '5.27 Kwh'}, {'source': 'sensor_4', 'data': '9.28 Kwh'}, {'source': 'sensor_3', 'data': '13.83 Kwh'}]
[{'source': 'sensor_1', 'data': '12.11 Kwh'}, {'source': 'sensor_3', 'data': '5.22 Kwh'}, {'source': 'sensor_4', 'data': '6.87 Kwh'}]
[{'source': 'sensor_4', 'data': '4.44 Kwh'}, {'source': 'sensor_3', 'data': '20.88 Kwh'}, {'source': 'sensor_1', 'data': '14.42 Kwh'}]
[{'source': 'sensor_3', 'data': '6.35 Kwh'}, {'source': 'sensor_1', 'data': '8.82 Kwh'}, {'source': 'sensor_4', 'data': '8.63 Kwh'}]
[{'source': 'sensor_3', 'data': '19.53 Kwh'}, {'source': 'sensor_4', 'data': '5.8 Kwh'}, {'source': 'sensor_1', 'data': '11.74 Kwh'}]
[{'source': 'sensor_3', 'data': '2.58 Kwh'}, {'source': 'sensor_1', 'data': '8.14 Kwh'}, {'source': 'sensor_4', 'data': '17.09 Kwh'}]
[{'source': 'sensor_4', 'data': '6.69 Kwh'}, {'source': 'sensor_1', 'data': '15.2 Kwh'}, {'source': 'sensor_3', 'data': '8.45 Kwh'}]
[{'source': 'sensor_3', 'data': '21.16 Kwh'}, {'source': 'sensor_4', 'data': '2.57 Kwh'}, {'source': 'sensor_1', 'data': '2.53 Kwh'}]
[{'source': 'sensor_3', 'data': '11.91 Kwh'}, {'source': 'sensor_1', 'data': '13.65 Kwh'}, {'source': 'sensor_4', 'data': '12.04 Kwh'}]
[{'source': 'sensor_4', 'data': '20.01 Kwh'}, {'source': 'sensor_1', 'data': '21.99 Kwh'}, {'source': 'sensor_3', 'data': '7.84 Kwh'}]
[{'source': 'sensor_1', 'data': '15.17 Kwh'}, {'source': 'sensor_3', 'data': '16.3 Kwh'}, {'source': 'sensor_4', 'data': '19.75 Kwh'}]
[{'source': 'sensor_3', 'data': '3.09 Kwh'}, {'source': 'sensor_4', 'data': '14.85 Kwh'}, {'source': 'sensor_1', 'data': '9.88 Kwh'}]
[{'source': 'sensor_4', 'data': '8.76 Kwh'}, {'source': 'sensor_3', 'data': '10.05 Kwh'}, {'source': 'sensor_1', 'data': '12.19 Kwh'}]
[{'source': 'sensor_4', 'data': '14.7 Kwh'}, {'source': 'sensor_3', 'data': '11.86 Kwh'}, {'source': 'sensor_1', 'data': '10.87 Kwh'}]
[{'source': 'sensor_3', 'data': '3.55 Kwh'}, {'source': 'sensor_1', 'data': '12.8 Kwh'}, {'source': 'sensor_4', 'data': '19.37 Kwh'}]
[{'source': 'sensor_3', 'data': '4.5 Kwh'}, {'source': 'sensor_4', 'data': '2.98 Kwh'}, {'source': 'sensor_1', 'data': '3.33 Kwh'}]
[{'source': 'sensor_4', 'data': '5.38 Kwh'}, {'source': 'sensor_1', 'data': '17.02 Kwh'}, {'source': 'sensor_3', 'data': '15.26 Kwh'}]
[{'source': 'sensor_1', 'data': '8.72 Kwh'}, {'source': 'sensor_4', 'data': '11.51 Kwh'}, {'source': 'sensor_3', 'data': '21.51 Kwh'}]
[{'source': 'sensor_3', 'data': '14.71 Kwh'}, {'source': 'sensor_1', 'data': '5.67 Kwh'}, {'source': 'sensor_4', 'data': '4.63 Kwh'}]
