[{ source: sensor_3, data: 6.28 Kwh },{ source: sensor_1, data: 12.53 Kwh }]
[{ source: sensor_3, data: 5.9 Kwh },{ source: sensor_4, data: 19.88 Kwh },{ source: sensor_1, data: 7.57 Kwh }]
[{ source: sensor_4, data: 10.06 Kwh },{ source: sensor_1, data: 8.72 Kwh },{ source: sensor_3, data: 17.95 Kwh }]
[{ source: sensor_3, data: 6.75 Kwh },{ source: sensor_1, data: 19.59 Kwh },{ source: sensor_4, data: 17.65 Kwh }]
[{ source: sensor_1, data: 22.32 Kwh },{ source: sensor_4, data: 19.83 Kwh },{ source: sensor_3, data: 16.67 Kwh }]
[{ source: sensor_3, data: 3.36 Kwh },{ source: sensor_1, data: 9.7 Kwh },{ source: sensor_4, data: 17.32 Kwh }]
[{ source: sensor_1, data: 3.77 Kwh },{ source: sensor_4, data: 10.4 Kwh },{ source: sensor_3, data: 21.32 Kwh }]
[{ source: sensor_3, data: 3.19 Kwh },{ source: sensor_1, data: 12.68 Kwh },{ source: sensor_4, data: 13.71 Kwh }]
[{ source: sensor_3, data: 7.53 Kwh },{ source: sensor_4, data: 16.89 Kwh },{ source: sensor_1, data: 14.45 Kwh }]
[{ source: sensor_3, data: 6.48 Kwh },{ source: sensor_1, data: 2.54 Kwh },{ source: sensor_4, data: 6.94 Kwh }]
[{ source: sensor_1, data: 9.04 Kwh },{ source: sensor_4, data: 12.47 Kwh },{ source: sensor_3, data: 7.86 Kwh }]
[{ source: sensor_3, data: 10.55 Kwh },{ source: sensor_1, data: 11.22 Kwh },{ source: sensor_4, data: 2.88 Kwh }]
[{ source: sensor_1, data: 11.58 Kwh },{ source: sensor_4, data: 21.74 Kwh },{ source: sensor_3, data: 22.34 Kwh }]
[{ source: sensor_1, data: 21.34 Kwh },{ source: sensor_3, data: 13.88 Kwh },{ source: sensor_4, data: 20.79 Kwh }]
[{ source: sensor_1, data: 18.82 Kwh },{ source: sensor_3, data: 14.55 Kwh },{ source: sensor_4, data: 16.06 Kwh }]
[{ source: sensor_1, data: 21.09 Kwh },{ source: sensor_4, data: 17.68 Kwh },{ source: sensor_3, data: 16.19 Kwh }]
[{ source: sensor_3, data: 9.07 Kwh },{ source: sensor_4, data: 7.01 Kwh },{ source: sensor_1, data: 4.82 Kwh }]
[{ source: sensor_4, data: 6.3 Kwh },{ source: sensor_3, data: 4.79 Kwh },{ source: sensor_1, data: 9.66 Kwh }]
[{ source: sensor_3, data: 8.05 Kwh },{ source: sensor_4, data: 12.42 Kwh },{ source: sensor_1, data: 6.2 Kwh }]
[{ source: sensor_4, data: 17.85 Kwh },{ source: sensor_3, data: 17.78 Kwh },{ source: sensor_1, data: 4.0 Kwh }]
[{ source: sensor_3, data: 7.28 Kwh },{ source: sensor_1, data: 9.2 Kwh },{ source: sensor_4, data: 4.23 Kwh }]
