[{ source: sensor_3, data: 11.71 Kwh },{ source: sensor_1, data: 4.26 Kwh }]
[{ source: sensor_3, data: 13.7 Kwh },{ source: sensor_1, data: 17.86 Kwh },{ source: sensor_4, data: 7.53 Kwh }]
[{ source: sensor_4, data: 11.31 Kwh },{ source: sensor_1, data: 3.05 Kwh },{ source: sensor_3, data: 10.47 Kwh }]
[{ source: sensor_3, data: 15.41 Kwh },{ source: sensor_1, data: 15.28 Kwh },{ source: sensor_4, data: 16.51 Kwh }]
[{ source: sensor_1, data: 22.2 Kwh },{ source: sensor_4, data: 3.15 Kwh },{ source: sensor_3, data: 19.93 Kwh }]
[{ source: sensor_4, data: 14.6 Kwh },{ source: sensor_1, data: 4.62 Kwh },{ source: sensor_3, data: 22.03 Kwh }]
[{ source: sensor_3, data: 11.91 Kwh },{ source: sensor_1, data: 16.19 Kwh },{ source: sensor_4, data: 9.55 Kwh }]
[{ source: sensor_3, data: 13.79 Kwh },{ source: sensor_4, data: 15.59 Kwh },{ source: sensor_1, data: 17.42 Kwh }]
[{ source: sensor_4, data: 20.73 Kwh },{ source: sensor_1, data: 10.49 Kwh },{ source: sensor_3, data: 3.25 Kwh }]
[{ source: sensor_1, data: 8.98 Kwh },{ source: sensor_4, data: 17.99 Kwh },{ source: sensor_3, data: 22.11 Kwh }]
[{ source: sensor_3, data: 4.26 Kwh },{ source: sensor_4, data: 9.47 Kwh },{ source: sensor_1, data: 14.14 Kwh }]
[{ source: sensor_1, data: 9.38 Kwh },{ source: sensor_4, data: 7.72 Kwh },{ source: sensor_3, data: 18.07 Kwh }]
[{ source: sensor_1, data: 9.04 Kwh },{ source: sensor_3, data: 5.2 Kwh },{ source: sensor_4, data: 15.57 Kwh }]
[{ source: sensor_1, data: 10.3 Kwh },{ source: sensor_4, data: 22.31 Kwh },{ source: sensor_3, data: 5.21 Kwh }]
[{ source: sensor_4, data: 14.25 Kwh },{ source: sensor_1, data: 18.49 Kwh },{ source: sensor_3, data: 5.43 Kwh }]
[{ source: sensor_1, data: 5.18 Kwh },{ source: sensor_4, data: 4.93 Kwh },{ source: sensor_3, data: 22.03 Kwh }]
[{ source: sensor_1, data: 21.09 Kwh },{ source: sensor_3, data: 2.82 Kwh },{ source: sensor_4, data: 11.25 Kwh }]
[{ source: sensor_3, data: 15.23 Kwh },{ source: sensor_1, data: 21.85 Kwh },{ source: sensor_4, data: 7.93 Kwh }]
[{ source: sensor_3, data: 11.98 Kwh },{ source: sensor_4, data: 11.43 Kwh },{ source: sensor_1, data: 3.74 Kwh }]
[{ source: sensor_4, data: 5.74 Kwh },{ source: sensor_3, data: 7.37 Kwh },{ source: sensor_1, data: 8.81 Kwh }]
[{ source: sensor_3, data: 4.19 Kwh },{ source: sensor_1, data: 13.6 Kwh },{ source: sensor_4, data: 16.82 Kwh }]
[{ source: sensor_4, data: 4.32 Kwh },{ source: sensor_1, data: 2.53 Kwh },{ source: sensor_3, data: 3.04 Kwh }]
[{ source: sensor_1, data: 9.88 Kwh },{ source: sensor_3, data: 8.02 Kwh },{ source: sensor_4, data: 3.36 Kwh }]
[{ source: sensor_3, data: 16.2 Kwh },{ source: sensor_1, data: 16.69 Kwh },{ source: sensor_4, data: 3.7 Kwh }]
[{ source: sensor_1, data: 17.26 Kwh },{ source: sensor_3, data: 2.69 Kwh },{ source: sensor_4, data: 22.35 Kwh }]
[{ source: sensor_3, data: 10.74 Kwh },{ source: sensor_1, data: 9.79 Kwh },{ source: sensor_4, data: 8.6 Kwh }]
[{ source: sensor_4, data: 3.06 Kwh },{ source: sensor_3, data: 22.43 Kwh },{ source: sensor_1, data: 3.26 Kwh }]
[{ source: sensor_1, data: 6.59 Kwh },{ source: sensor_3, data: 5.21 Kwh },{ source: sensor_4, data: 4.16 Kwh }]
[{ source: sensor_4, data: 21.08 Kwh },{ source: sensor_3, data: 4.77 Kwh },{ source: sensor_1, data: 5.57 Kwh }]
[{ source: sensor_1, data: 11.76 Kwh },{ source: sensor_3, data: 12.33 Kwh },{ source: sensor_4, data: 15.68 Kwh }]
[{ source: sensor_4, data: 19.08 Kwh },{ source: sensor_3, data: 3.35 Kwh },{ source: sensor_1, data: 4.76 Kwh }]
[{ source: sensor_4, data: 21.96 Kwh },{ source: sensor_3, data: 14.03 Kwh },{ source: sensor_1, data: 13.54 Kwh }]
[{ source: sensor_1, data: 15.31 Kwh },{ source: sensor_4, data: 13.02 Kwh },{ source: sensor_3, data: 14.33 Kwh }]
[{ source: sensor_4, data: 9.93 Kwh },{ source: sensor_3, data: 15.13 Kwh },{ source: sensor_1, data: 12.48 Kwh }]
[{ source: sensor_3, data: 10.28 Kwh },{ source: sensor_1, data: 19.12 Kwh },{ source: sensor_4, data: 21.02 Kwh }]
[{ source: sensor_4, data: 5.0 Kwh },{ source: sensor_3, data: 7.92 Kwh },{ source: sensor_1, data: 22.23 Kwh }]
[{ source: sensor_4, data: 6.14 Kwh },{ source: sensor_1, data: 16.8 Kwh },{ source: sensor_3, data: 7.1 Kwh }]
[{ source: sensor_4, data: 9.07 Kwh },{ source: sensor_1, data: 4.58 Kwh },{ source: sensor_3, data: 15.45 Kwh }]
[{ source: sensor_3, data: 16.4 Kwh },{ source: sensor_4, data: 9.84 Kwh },{ source: sensor_1, data: 5.4 Kwh }]
[{ source: sensor_3, data: 16.35 Kwh },{ source: sensor_4, data: 19.39 Kwh },{ source: sensor_1, data: 5.51 Kwh }]
[{ source: sensor_1, data: 12.87 Kwh },{ source: sensor_3, data: 21.22 Kwh },{ source: sensor_4, data: 18.17 Kwh }]
[{ source: sensor_3, data: 17.72 Kwh },{ source: sensor_1, data: 9.07 Kwh },{ source: sensor_4, data: 6.03 Kwh }]
[{ source: sensor_3, data: 5.3 Kwh },{ source: sensor_4, data: 3.07 Kwh },{ source: sensor_1, data: 3.88 Kwh }]
[{ source: sensor_3, data: 12.99 Kwh },{ source: sensor_1, data: 18.86 Kwh },{ source: sensor_4, data: 3.4 Kwh }]
[{ source: sensor_1, data: 10.37 Kwh },{ source: sensor_4, data: 5.43 Kwh },{ source: sensor_3, data: 6.29 Kwh }]
[{ source: sensor_4, data: 8.24 Kwh },{ source: sensor_1, data: 13.41 Kwh },{ source: sensor_3, data: 15.38 Kwh }]
[{ source: sensor_1, data: 20.64 Kwh },{ source: sensor_3, data: 21.17 Kwh },{ source: sensor_4, data: 13.35 Kwh }]
[{ source: sensor_4, data: 10.01 Kwh },{ source: sensor_3, data: 10.26 Kwh },{ source: sensor_1, data: 18.57 Kwh }]
[{ source: sensor_3, data: 18.08 Kwh },{ source: sensor_4, data: 8.05 Kwh },{ source: sensor_1, data: 20.82 Kwh }]
[{ source: sensor_4, data: 10.01 Kwh },{ source: sensor_1, data: 12.39 Kwh },{ source: sensor_3, data: 4.11 Kwh }]
