MQTT_ACK
MQTT_ACK226865395940488
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.28 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.33 Kwh },{ source: sensor_1, data: 20.3 Kwh },{ source: sensor_4, data: 4.09 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.9 Kwh },{ source: sensor_4, data: 13.35 Kwh },{ source: sensor_3, data: 13.39 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.33 Kwh },{ source: sensor_4, data: 12.15 Kwh },{ source: sensor_1, data: 13.38 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 8.87 Kwh },{ source: sensor_3, data: 20.1 Kwh },{ source: sensor_4, data: 10.19 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.7 Kwh },{ source: sensor_3, data: 8.67 Kwh },{ source: sensor_1, data: 21.74 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 10.54 Kwh },{ source: sensor_1, data: 16.77 Kwh },{ source: sensor_3, data: 2.76 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 11.45 Kwh },{ source: sensor_3, data: 11.44 Kwh },{ source: sensor_4, data: 15.83 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 20.86 Kwh },{ source: sensor_3, data: 9.97 Kwh },{ source: sensor_4, data: 5.01 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.95 Kwh },{ source: sensor_4, data: 15.39 Kwh },{ source: sensor_3, data: 4.5 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.05 Kwh },{ source: sensor_1, data: 12.71 Kwh },{ source: sensor_3, data: 20.25 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 12.78 Kwh },{ source: sensor_3, data: 16.11 Kwh },{ source: sensor_4, data: 12.32 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 7.98 Kwh },{ source: sensor_4, data: 7.16 Kwh },{ source: sensor_1, data: 6.4 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.87 Kwh },{ source: sensor_1, data: 7.48 Kwh },{ source: sensor_4, data: 6.11 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 7.34 Kwh },{ source: sensor_1, data: 10.08 Kwh },{ source: sensor_4, data: 5.9 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 16.42 Kwh },{ source: sensor_3, data: 12.16 Kwh },{ source: sensor_4, data: 20.48 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 21.67 Kwh },{ source: sensor_4, data: 11.77 Kwh },{ source: sensor_3, data: 16.17 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 13.73 Kwh },{ source: sensor_1, data: 6.73 Kwh },{ source: sensor_3, data: 20.59 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 5.96 Kwh },{ source: sensor_4, data: 15.36 Kwh },{ source: sensor_1, data: 12.96 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 8.95 Kwh },{ source: sensor_4, data: 11.38 Kwh },{ source: sensor_1, data: 13.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 18.2 Kwh },{ source: sensor_3, data: 8.69 Kwh },{ source: sensor_4, data: 19.09 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 2.5 Kwh },{ source: sensor_3, data: 7.38 Kwh },{ source: sensor_4, data: 20.87 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 21.61 Kwh },{ source: sensor_1, data: 22.3 Kwh },{ source: sensor_3, data: 20.96 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 3.32 Kwh },{ source: sensor_3, data: 15.56 Kwh },{ source: sensor_1, data: 3.96 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.74 Kwh },{ source: sensor_4, data: 19.42 Kwh },{ source: sensor_1, data: 21.58 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 7.67 Kwh },{ source: sensor_3, data: 6.61 Kwh },{ source: sensor_1, data: 9.37 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.55 Kwh },{ source: sensor_3, data: 5.04 Kwh },{ source: sensor_1, data: 20.12 Kwh }]'}
