MQTT_ACK
MQTT_ACK83147615609056
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 3.11 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 19.5 Kwh },{ source: sensor_3, data: 19.9 Kwh },{ source: sensor_4, data: 8.82 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 8.9 Kwh },{ source: sensor_4, data: 15.47 Kwh },{ source: sensor_1, data: 6.22 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.01 Kwh },{ source: sensor_1, data: 16.75 Kwh },{ source: sensor_3, data: 4.15 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 5.86 Kwh },{ source: sensor_4, data: 13.54 Kwh },{ source: sensor_3, data: 3.71 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 5.18 Kwh },{ source: sensor_3, data: 19.76 Kwh },{ source: sensor_1, data: 6.54 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.64 Kwh },{ source: sensor_1, data: 18.23 Kwh },{ source: sensor_4, data: 5.26 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 15.04 Kwh },{ source: sensor_3, data: 17.66 Kwh },{ source: sensor_1, data: 17.99 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 7.91 Kwh },{ source: sensor_1, data: 10.65 Kwh },{ source: sensor_3, data: 14.07 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 18.33 Kwh },{ source: sensor_3, data: 13.47 Kwh },{ source: sensor_1, data: 11.21 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 20.81 Kwh },{ source: sensor_1, data: 17.38 Kwh },{ source: sensor_3, data: 5.51 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 10.1 Kwh },{ source: sensor_3, data: 7.48 Kwh },{ source: sensor_1, data: 16.96 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 3.2 Kwh },{ source: sensor_4, data: 9.17 Kwh },{ source: sensor_3, data: 6.44 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 8.35 Kwh },{ source: sensor_4, data: 16.5 Kwh },{ source: sensor_1, data: 3.28 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 18.18 Kwh },{ source: sensor_3, data: 15.59 Kwh },{ source: sensor_1, data: 18.02 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 6.21 Kwh },{ source: sensor_1, data: 7.76 Kwh },{ source: sensor_4, data: 22.37 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 12.77 Kwh },{ source: sensor_1, data: 10.64 Kwh },{ source: sensor_3, data: 6.81 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 7.04 Kwh },{ source: sensor_3, data: 2.93 Kwh },{ source: sensor_1, data: 19.22 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 11.83 Kwh },{ source: sensor_3, data: 8.24 Kwh },{ source: sensor_4, data: 5.37 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 15.24 Kwh },{ source: sensor_1, data: 6.61 Kwh },{ source: sensor_3, data: 15.87 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 18.19 Kwh },{ source: sensor_3, data: 11.16 Kwh },{ source: sensor_1, data: 22.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 22.32 Kwh },{ source: sensor_4, data: 4.31 Kwh },{ source: sensor_3, data: 11.84 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.57 Kwh },{ source: sensor_1, data: 20.48 Kwh },{ source: sensor_4, data: 7.26 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.33 Kwh },{ source: sensor_3, data: 2.86 Kwh },{ source: sensor_1, data: 16.82 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 3.14 Kwh },{ source: sensor_4, data: 10.05 Kwh },{ source: sensor_3, data: 15.42 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.07 Kwh },{ source: sensor_4, data: 3.98 Kwh },{ source: sensor_3, data: 8.64 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 3.78 Kwh },{ source: sensor_4, data: 13.23 Kwh },{ source: sensor_1, data: 15.32 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.79 Kwh },{ source: sensor_1, data: 3.82 Kwh },{ source: sensor_3, data: 9.98 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 21.18 Kwh },{ source: sensor_4, data: 12.88 Kwh },{ source: sensor_1, data: 17.49 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.86 Kwh },{ source: sensor_4, data: 22.02 Kwh },{ source: sensor_1, data: 4.26 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 15.97 Kwh },{ source: sensor_1, data: 4.68 Kwh },{ source: sensor_3, data: 21.27 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.09 Kwh },{ source: sensor_3, data: 2.66 Kwh },{ source: sensor_4, data: 17.39 Kwh }]'}
