MQTT_ACK
MQTT_ACK91720085402035
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 3.99 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 16.86 Kwh },{ source: sensor_3, data: 12.44 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 10.68 Kwh },{ source: sensor_4, data: 19.98 Kwh },{ source: sensor_3, data: 10.9 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 2.54 Kwh },{ source: sensor_3, data: 12.61 Kwh },{ source: sensor_4, data: 16.16 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 11.17 Kwh },{ source: sensor_4, data: 17.63 Kwh },{ source: sensor_3, data: 8.34 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 16.45 Kwh },{ source: sensor_3, data: 9.59 Kwh },{ source: sensor_4, data: 12.1 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 15.82 Kwh },{ source: sensor_1, data: 14.55 Kwh },{ source: sensor_3, data: 12.13 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 14.63 Kwh },{ source: sensor_1, data: 11.75 Kwh },{ source: sensor_4, data: 7.04 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.8 Kwh },{ source: sensor_1, data: 14.25 Kwh },{ source: sensor_4, data: 3.71 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 7.46 Kwh },{ source: sensor_4, data: 22.04 Kwh },{ source: sensor_1, data: 13.64 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 14.53 Kwh },{ source: sensor_4, data: 3.65 Kwh },{ source: sensor_3, data: 6.63 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 20.31 Kwh },{ source: sensor_4, data: 7.01 Kwh },{ source: sensor_3, data: 21.42 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.62 Kwh },{ source: sensor_1, data: 14.44 Kwh },{ source: sensor_4, data: 13.39 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 10.5 Kwh },{ source: sensor_3, data: 14.4 Kwh },{ source: sensor_1, data: 8.03 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.97 Kwh },{ source: sensor_1, data: 6.8 Kwh },{ source: sensor_4, data: 20.19 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 5.32 Kwh },{ source: sensor_3, data: 11.77 Kwh },{ source: sensor_1, data: 17.7 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.29 Kwh },{ source: sensor_3, data: 7.35 Kwh },{ source: sensor_1, data: 5.22 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 19.14 Kwh },{ source: sensor_3, data: 14.69 Kwh },{ source: sensor_4, data: 3.28 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.31 Kwh },{ source: sensor_1, data: 6.55 Kwh },{ source: sensor_4, data: 14.33 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.51 Kwh },{ source: sensor_4, data: 17.28 Kwh },{ source: sensor_3, data: 19.3 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.22 Kwh },{ source: sensor_3, data: 10.81 Kwh },{ source: sensor_4, data: 13.99 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 6.07 Kwh },{ source: sensor_3, data: 17.11 Kwh },{ source: sensor_1, data: 5.13 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 18.63 Kwh },{ source: sensor_3, data: 4.19 Kwh },{ source: sensor_1, data: 11.9 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 13.47 Kwh },{ source: sensor_4, data: 14.98 Kwh },{ source: sensor_1, data: 7.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 7.8 Kwh },{ source: sensor_3, data: 9.98 Kwh },{ source: sensor_1, data: 4.36 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.03 Kwh },{ source: sensor_1, data: 14.74 Kwh },{ source: sensor_4, data: 18.74 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 7.08 Kwh },{ source: sensor_4, data: 7.48 Kwh },{ source: sensor_1, data: 7.16 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 14.35 Kwh },{ source: sensor_1, data: 15.98 Kwh },{ source: sensor_3, data: 6.59 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 17.73 Kwh },{ source: sensor_3, data: 3.25 Kwh },{ source: sensor_4, data: 8.11 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 20.2 Kwh },{ source: sensor_3, data: 12.8 Kwh },{ source: sensor_4, data: 9.92 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 19.43 Kwh },{ source: sensor_3, data: 16.14 Kwh },{ source: sensor_1, data: 8.34 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 8.98 Kwh },{ source: sensor_3, data: 8.29 Kwh },{ source: sensor_1, data: 15.59 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 8.31 Kwh },{ source: sensor_1, data: 18.4 Kwh },{ source: sensor_3, data: 17.48 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 19.83 Kwh },{ source: sensor_1, data: 17.85 Kwh },{ source: sensor_4, data: 14.19 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 19.12 Kwh },{ source: sensor_4, data: 3.4 Kwh },{ source: sensor_3, data: 2.71 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 10.1 Kwh },{ source: sensor_1, data: 9.4 Kwh },{ source: sensor_3, data: 18.8 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 6.01 Kwh },{ source: sensor_1, data: 18.73 Kwh },{ source: sensor_4, data: 4.91 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 11.93 Kwh },{ source: sensor_1, data: 10.96 Kwh },{ source: sensor_3, data: 2.78 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 14.44 Kwh },{ source: sensor_1, data: 8.93 Kwh },{ source: sensor_3, data: 15.36 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 10.96 Kwh },{ source: sensor_4, data: 13.08 Kwh },{ source: sensor_3, data: 12.8 Kwh }]'}
