MQTT_ACK
MQTT_ACK136093724772902
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.86 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 4.19 Kwh },{ source: sensor_1, data: 14.36 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 7.95 Kwh },{ source: sensor_3, data: 12.89 Kwh },{ source: sensor_4, data: 3.29 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.37 Kwh },{ source: sensor_4, data: 4.43 Kwh },{ source: sensor_3, data: 4.0 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.54 Kwh },{ source: sensor_4, data: 13.18 Kwh },{ source: sensor_1, data: 19.09 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 2.87 Kwh },{ source: sensor_4, data: 21.08 Kwh },{ source: sensor_3, data: 9.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 5.56 Kwh },{ source: sensor_1, data: 8.85 Kwh },{ source: sensor_4, data: 4.16 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 21.6 Kwh },{ source: sensor_1, data: 3.59 Kwh },{ source: sensor_4, data: 22.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 13.33 Kwh },{ source: sensor_4, data: 7.36 Kwh },{ source: sensor_1, data: 16.65 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 20.11 Kwh },{ source: sensor_1, data: 15.91 Kwh },{ source: sensor_3, data: 19.05 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.64 Kwh },{ source: sensor_3, data: 11.29 Kwh },{ source: sensor_4, data: 21.53 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.28 Kwh },{ source: sensor_1, data: 15.66 Kwh },{ source: sensor_4, data: 7.4 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 7.94 Kwh },{ source: sensor_1, data: 5.68 Kwh },{ source: sensor_4, data: 8.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 12.56 Kwh },{ source: sensor_1, data: 13.69 Kwh },{ source: sensor_3, data: 11.89 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.23 Kwh },{ source: sensor_4, data: 4.5 Kwh },{ source: sensor_1, data: 12.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 21.6 Kwh },{ source: sensor_1, data: 5.24 Kwh },{ source: sensor_4, data: 20.26 Kwh }]'}
