227522958108571,sensor_53,220.0V,1140.33A,59.9Hz,250.87KW,300KVA,0.99,2021-05-13T23:46:02.841684,stored_at:2021-05-13T23:47:04.073145
263417249807313,sensor_34,220.0V,1199.07A,60.1Hz,263.8KW,300KVA,0.95,2021-05-13T23:39:02.952670,stored_at:2021-05-13T23:47:04.073212
270977544947702,sensor_5,220.0V,1097.85A,60.1Hz,241.53KW,300KVA,0.95,2021-05-13T23:37:02.824181,stored_at:2021-05-13T23:47:04.073236
237736845919962,sensor_9,220.0V,1196.26A,60.0Hz,263.18KW,300KVA,0.94,2021-05-13T23:39:03.104494,stored_at:2021-05-13T23:47:04.073256
230572417922858,sensor_16,220.0V,1159.19A,60.1Hz,255.02KW,300KVA,0.92,2021-05-13T23:39:03.098539,stored_at:2021-05-13T23:47:04.073274
26973143443434,sensor_25,213V,1220.1A,60.1Hz,259.88KW,300KVA,0.95,2021-05-13T23:41:03.037329,stored_at:2021-05-13T23:47:04.073292
87296219699223,sensor_32,220.0V,1193.29A,60.0Hz,262.52KW,300KVA,0.96,2021-05-13T23:44:03.048632,stored_at:2021-05-13T23:47:04.073310
36701801208305,sensor_10,220.0V,1185.46A,60.0Hz,260.8KW,300KVA,0.94,2021-05-13T23:43:02.950927,stored_at:2021-05-13T23:47:04.073328
126355633529797,sensor_30,212V,1043.28A,60.0Hz,221.18KW,300KVA,0.92,2021-05-13T23:46:03.069906,stored_at:2021-05-13T23:47:04.073346
242708073261164,sensor_10,220.0V,1046.33A,59.9Hz,230.19KW,300KVA,0.94,2021-05-13T23:32:02.824183,stored_at:2021-05-13T23:47:04.073363
78290186974627,sensor_4,212V,1064.69A,60.0Hz,225.71KW,300KVA,0.94,2021-05-13T23:32:02.917150,stored_at:2021-05-13T23:47:04.073381
270432271274803,sensor_9,195V,1278.66A,60.1Hz,249.34KW,300KVA,0.98,2021-05-13T23:38:03.797965,stored_at:2021-05-13T23:47:04.073398
192807605995503,sensor_52,213V,1154.09A,59.9Hz,245.82KW,300KVA,0.94,2021-05-13T23:40:03.100185,stored_at:2021-05-13T23:47:04.073415
277132102115582,sensor_54,220.0V,1148.01A,59.9Hz,252.56KW,300KVA,0.96,2021-05-13T23:33:03.066825,stored_at:2021-05-13T23:47:04.073432
142891948934104,sensor_15,207V,1154.23A,60.1Hz,238.93KW,300KVA,1.0,2021-05-13T23:32:02.841365,stored_at:2021-05-13T23:47:04.073449
263250523385818,sensor_33,220.0V,1046.19A,59.9Hz,230.16KW,300KVA,0.94,2021-05-13T23:45:04.276931,stored_at:2021-05-13T23:47:04.073466
157801677651993,sensor_49,220.0V,1199.9A,60.1Hz,263.98KW,300KVA,1.0,2021-05-13T23:39:03.058408,stored_at:2021-05-13T23:47:04.073484
236639829222947,sensor_42,230V,1086.23A,59.9Hz,249.83KW,300KVA,0.99,2021-05-13T23:40:03.056531,stored_at:2021-05-13T23:47:04.073501
54844675408093,sensor_21,220.0V,1219.58A,60.0Hz,268.31KW,300KVA,0.94,2021-05-13T23:46:04.163309,stored_at:2021-05-13T23:47:04.073518
202166122235598,sensor_55,220.0V,1028.88A,59.9Hz,226.35KW,300KVA,0.95,2021-05-13T23:41:04.313322,stored_at:2021-05-13T23:47:04.073535
188149793574878,sensor_2,220.0V,1112.46A,60.1Hz,244.74KW,300KVA,0.96,2021-05-13T23:32:02.945260,stored_at:2021-05-13T23:47:04.073552
44120014081901,sensor_34,223V,1150.46A,60.0Hz,256.55KW,300KVA,0.98,2021-05-13T23:43:02.960411,stored_at:2021-05-13T23:47:04.073570
82369429140751,sensor_2,224V,1291.5A,60.0Hz,289.3KW,300KVA,0.97,2021-05-13T23:46:04.196346,stored_at:2021-05-13T23:47:04.073588
274667144504390,sensor_43,220.0V,1179.16A,59.9Hz,259.42KW,300KVA,0.93,2021-05-13T23:45:04.347910,stored_at:2021-05-13T23:47:04.073605
115780407373763,sensor_34,220.0V,1031.9A,60.1Hz,227.02KW,300KVA,0.97,2021-05-13T23:41:02.928459,stored_at:2021-05-13T23:47:04.073622
11334288965600,sensor_2,220.0V,1194.67A,60.1Hz,262.83KW,300KVA,0.99,2021-05-13T23:44:03.167252,stored_at:2021-05-13T23:47:04.073639
246549866463311,sensor_33,214V,1186.5A,60.0Hz,253.91KW,300KVA,0.94,2021-05-13T23:44:03.149576,stored_at:2021-05-13T23:47:04.073656
40338241061940,sensor_50,220.0V,1034.7A,59.9Hz,227.63KW,300KVA,0.93,2021-05-13T23:44:03.175071,stored_at:2021-05-13T23:47:04.073673
66755142972328,sensor_25,220.0V,1217.91A,60.0Hz,267.94KW,300KVA,0.97,2021-05-13T23:34:03.057812,stored_at:2021-05-13T23:47:04.073690
68675812327401,sensor_17,208V,1175.02A,60.0Hz,244.4KW,300KVA,0.97,2021-05-13T23:37:02.804032,stored_at:2021-05-13T23:47:04.073707
238236063282987,sensor_26,220.0V,1051.1A,59.9Hz,231.24KW,300KVA,0.96,2021-05-13T23:33:04.381562,stored_at:2021-05-13T23:47:04.073724
24372897846884,sensor_10,228V,1104.52A,60.1Hz,251.83KW,300KVA,0.99,2021-05-13T23:46:02.917802,stored_at:2021-05-13T23:47:04.073753
154821627005426,sensor_45,204V,1292.93A,60.0Hz,263.76KW,300KVA,0.99,2021-05-13T23:33:04.359627,stored_at:2021-05-13T23:47:04.073770
149467499152841,sensor_19,220.0V,1074.19A,60.0Hz,236.32KW,300KVA,0.97,2021-05-13T23:41:04.301784,stored_at:2021-05-13T23:47:04.073787
70010643542240,sensor_52,220.0V,1047.55A,59.9Hz,230.46KW,300KVA,0.96,2021-05-13T23:42:04.170769,stored_at:2021-05-13T23:47:04.073804
224678254370573,sensor_50,220.0V,1260.36A,60.1Hz,277.28KW,300KVA,0.98,2021-05-13T23:39:04.415100,stored_at:2021-05-13T23:47:04.073821
44134426490882,sensor_19,225V,1072.61A,59.9Hz,241.34KW,300KVA,0.94,2021-05-13T23:39:04.422381,stored_at:2021-05-13T23:47:04.073838
76641646216384,sensor_40,208V,1028.01A,59.9Hz,213.83KW,300KVA,0.93,2021-05-13T23:42:04.160578,stored_at:2021-05-13T23:47:04.073855
37053135241441,sensor_46,220.0V,1193.77A,60.1Hz,262.63KW,300KVA,0.94,2021-05-13T23:38:02.878683,stored_at:2021-05-13T23:47:04.073872
28749789529278,sensor_51,220.0V,1243.46A,59.9Hz,273.56KW,300KVA,0.93,2021-05-13T23:38:02.942021,stored_at:2021-05-13T23:47:04.073889
58800513091887,sensor_24,219V,1272.76A,60.1Hz,278.73KW,300KVA,1.0,2021-05-13T23:43:04.521740,stored_at:2021-05-13T23:47:04.073906
151906897522937,sensor_47,205V,1057.29A,60.1Hz,216.74KW,300KVA,0.95,2021-05-13T23:38:03.753748,stored_at:2021-05-13T23:47:04.073924
70219037418084,sensor_6,195V,1224.26A,60.1Hz,238.73KW,300KVA,0.95,2021-05-13T23:35:03.052349,stored_at:2021-05-13T23:47:04.073941
262574337688299,sensor_42,220.0V,1164.0A,59.9Hz,256.08KW,300KVA,0.94,2021-05-13T23:39:03.063195,stored_at:2021-05-13T23:47:04.073957
225043438969832,sensor_42,220.0V,1038.76A,60.0Hz,228.53KW,300KVA,0.94,2021-05-13T23:42:03.048338,stored_at:2021-05-13T23:47:04.073975
238398023205675,sensor_40,220.0V,1194.16A,60.0Hz,262.72KW,300KVA,0.96,2021-05-13T23:33:03.097982,stored_at:2021-05-13T23:47:04.073993
78152955930016,sensor_49,226V,1270.11A,60.1Hz,287.04KW,300KVA,0.96,2021-05-13T23:44:03.091419,stored_at:2021-05-13T23:47:04.074010
64519947537409,sensor_19,220.0V,1233.59A,60.1Hz,271.39KW,300KVA,0.97,2021-05-13T23:33:04.393252,stored_at:2021-05-13T23:47:04.074027
111427793359264,sensor_56,220.0V,1128.43A,60.0Hz,248.25KW,300KVA,0.95,2021-05-13T23:43:03.052082,stored_at:2021-05-13T23:47:04.074044
228247957726044,sensor_33,220.0V,1224.22A,60.1Hz,269.33KW,300KVA,0.92,2021-05-13T23:41:04.232104,stored_at:2021-05-13T23:47:04.074061
1859865174305,sensor_23,220.0V,1179.18A,60.1Hz,259.42KW,300KVA,0.97,2021-05-13T23:36:03.822043,stored_at:2021-05-13T23:47:04.074078
126868855532652,sensor_33,220.0V,1132.45A,59.9Hz,249.14KW,300KVA,0.96,2021-05-13T23:46:04.162670,stored_at:2021-05-13T23:47:04.074095
222836589567221,sensor_10,201V,1193.93A,60.0Hz,239.98KW,300KVA,0.95,2021-05-13T23:34:02.935193,stored_at:2021-05-13T23:47:04.074112
181382982555987,sensor_2,220.0V,1037.92A,59.9Hz,228.34KW,300KVA,0.97,2021-05-13T23:42:04.231049,stored_at:2021-05-13T23:47:04.074129
51797118333152,sensor_18,220.0V,1100.61A,60.0Hz,242.13KW,300KVA,0.96,2021-05-13T23:35:03.049536,stored_at:2021-05-13T23:47:04.074146
155397772541922,sensor_37,220.0V,1234.52A,60.1Hz,271.59KW,300KVA,0.95,2021-05-13T23:39:03.051547,stored_at:2021-05-13T23:47:04.074164
214787347511157,sensor_46,197V,1000.97A,60.1Hz,197.19KW,300KVA,0.98,2021-05-13T23:45:02.910123,stored_at:2021-05-13T23:47:04.074181
231622560665224,sensor_52,220.0V,1241.19A,60.0Hz,273.06KW,300KVA,0.98,2021-05-13T23:41:04.219325,stored_at:2021-05-13T23:47:04.074198
118624238542166,sensor_13,216V,1103.65A,59.9Hz,238.39KW,300KVA,0.93,2021-05-13T23:45:03.023261,stored_at:2021-05-13T23:47:04.074215
58929132755218,sensor_27,220.0V,1234.78A,59.9Hz,271.65KW,300KVA,0.94,2021-05-13T23:44:03.008456,stored_at:2021-05-13T23:47:04.074232
267168983428384,sensor_55,204V,1236.68A,60.1Hz,252.28KW,300KVA,0.94,2021-05-13T23:46:04.232754,stored_at:2021-05-13T23:47:04.074249
39282091517822,sensor_47,220.0V,1116.18A,60.0Hz,245.56KW,300KVA,0.96,2021-05-13T23:42:03.059699,stored_at:2021-05-13T23:47:04.074265
