sensor_2,7.66 Kwh
sensor_1,18.01 Kwh
sensor_5,9.78 Kwh
sensor_2,16.06 Kwh
sensor_3,4.93 Kwh
sensor_1,3.41 Kwh
sensor_3,2.93 Kwh
sensor_8,12.63 Kwh
sensor_5,17.55 Kwh
sensor_4,14.25 Kwh
sensor_2,6.94 Kwh
sensor_1,18.05 Kwh
sensor_6,3.27 Kwh
sensor_8,15.89 Kwh
sensor_2,11.34 Kwh
sensor_4,9.16 Kwh
sensor_5,19.35 Kwh
sensor_3,12.59 Kwh
sensor_7,12.72 Kwh
sensor_5,8.0 Kwh
sensor_7,20.14 Kwh
sensor_1,15.82 Kwh
sensor_4,7.33 Kwh
sensor_2,9.64 Kwh
sensor_6,11.87 Kwh
sensor_3,3.87 Kwh
sensor_8,3.79 Kwh
sensor_1,20.72 Kwh
sensor_3,11.39 Kwh
sensor_5,10.18 Kwh
sensor_8,12.73 Kwh
sensor_7,16.16 Kwh
sensor_2,8.5 Kwh
sensor_4,14.8 Kwh
sensor_6,16.9 Kwh
sensor_4,20.49 Kwh
sensor_6,21.63 Kwh
sensor_7,3.22 Kwh
sensor_5,21.85 Kwh
sensor_2,12.0 Kwh
sensor_3,8.71 Kwh
sensor_1,12.57 Kwh
sensor_8,4.1 Kwh
sensor_1,17.65 Kwh
sensor_2,22.45 Kwh
sensor_5,19.99 Kwh
sensor_7,12.81 Kwh
sensor_3,9.5 Kwh
sensor_4,21.54 Kwh
sensor_8,19.9 Kwh
sensor_6,4.56 Kwh
sensor_1,16.55 Kwh
sensor_5,20.66 Kwh
sensor_4,2.81 Kwh
sensor_6,18.63 Kwh
sensor_7,22.2 Kwh
sensor_3,6.25 Kwh
sensor_2,16.07 Kwh
sensor_8,10.34 Kwh
sensor_1,13.22 Kwh
sensor_7,13.29 Kwh
sensor_4,16.3 Kwh
sensor_2,18.6 Kwh
sensor_3,12.71 Kwh
sensor_6,8.47 Kwh
sensor_8,11.39 Kwh
sensor_5,14.34 Kwh
sensor_5,2.95 Kwh
sensor_1,18.38 Kwh
sensor_2,7.32 Kwh
sensor_7,16.85 Kwh
sensor_6,5.87 Kwh
sensor_3,15.3 Kwh
sensor_8,21.49 Kwh
sensor_4,17.76 Kwh
sensor_8,21.25 Kwh
sensor_7,3.0 Kwh
