sensor_1,15.19 Kwh
sensor_2,12.14 Kwh
sensor_2,10.81 Kwh
sensor_3,21.08 Kwh
sensor_13,18.84 Kwh
sensor_1,8.27 Kwh
sensor_4,22.14 Kwh
sensor_5,12.31 Kwh
sensor_12,14.07 Kwh
sensor_6,6.09 Kwh
sensor_10,18.93 Kwh
sensor_7,9.78 Kwh
sensor_9,7.1 Kwh
sensor_11,18.96 Kwh
sensor_8,4.46 Kwh
sensor_5,22.29 Kwh
sensor_1,20.14 Kwh
sensor_16,8.27 Kwh
sensor_7,6.54 Kwh
sensor_11,17.07 Kwh
sensor_29,5.93 Kwh
sensor_3,17.24 Kwh
sensor_27,12.71 Kwh
sensor_9,5.32 Kwh
sensor_28,20.64 Kwh
sensor_2,20.02 Kwh
sensor_6,4.92 Kwh
sensor_14,4.24 Kwh
sensor_4,4.4 Kwh
sensor_10,14.51 Kwh
sensor_8,5.04 Kwh
sensor_15,12.27 Kwh
sensor_12,3.49 Kwh
sensor_26,9.43 Kwh
sensor_13,21.52 Kwh
sensor_17,12.49 Kwh
sensor_15,17.17 Kwh
sensor_10,14.08 Kwh
sensor_27,8.91 Kwh
sensor_11,14.91 Kwh
sensor_16,18.25 Kwh
sensor_7,11.23 Kwh
sensor_21,6.12 Kwh
sensor_38,19.53 Kwh
sensor_8,21.83 Kwh
sensor_36,18.17 Kwh
sensor_1,7.14 Kwh
sensor_30,10.73 Kwh
sensor_37,6.29 Kwh
sensor_4,11.76 Kwh
sensor_3,7.73 Kwh
sensor_28,19.24 Kwh
sensor_9,20.22 Kwh
sensor_25,18.92 Kwh
sensor_2,21.9 Kwh
sensor_5,11.32 Kwh
sensor_14,18.02 Kwh
sensor_12,5.1 Kwh
sensor_35,14.62 Kwh
sensor_6,17.51 Kwh
sensor_26,7.92 Kwh
sensor_19,19.6 Kwh
sensor_29,20.06 Kwh
sensor_13,6.69 Kwh
sensor_18,15.98 Kwh
sensor_39,3.43 Kwh
sensor_19,19.0 Kwh
sensor_1,11.43 Kwh
sensor_15,8.02 Kwh
sensor_21,17.74 Kwh
sensor_2,19.41 Kwh
sensor_35,21.95 Kwh
sensor_30,15.47 Kwh
sensor_5,14.12 Kwh
sensor_16,12.28 Kwh
sensor_11,12.46 Kwh
sensor_47,16.65 Kwh
sensor_36,20.75 Kwh
sensor_23,7.76 Kwh
sensor_22,4.75 Kwh
