215997024756412,sensor_1,{'voltage': 220.0v, 'frequency':60.0Hz},2021-02-13T02:13:32.852095,stored_at:2021-02-13T02:14:04.875284
27141286198037,sensor_2,{'voltage': 220.0v, 'frequency':59.9Hz},2021-02-13T02:13:32.849585,stored_at:2021-02-13T02:14:04.875436
103467120023880,sensor_2,{'voltage': 193v, 'frequency':60.1Hz},2021-02-13T02:14:02.850577,stored_at:2021-02-13T02:14:04.876010
26188334085479,sensor_1,{'voltage': 220.0v, 'frequency':59.9Hz},2021-02-13T02:14:02.864852,stored_at:2021-02-13T02:14:04.876080
173503573079980,sensor_2,{'voltage': 220.0v, 'frequency':60.0Hz},2021-02-13T02:14:32.850003,stored_at:2021-02-13T02:14:36.874328
135842446785827,sensor_1,{'voltage': 220.0v, 'frequency':60.1Hz},2021-02-13T02:14:32.864352,stored_at:2021-02-13T02:14:36.874479
42176927575330,sensor_1,{'voltage': 220.0v, 'frequency':59.9Hz},2021-02-13T02:15:02.861411,stored_at:2021-02-13T02:15:08.874122
184387832923100,sensor_2,{'voltage': 194v, 'frequency':59.9Hz},2021-02-13T02:15:02.849992,stored_at:2021-02-13T02:15:08.874265
106097589612319,sensor_1,{'voltage': 220.0v, 'frequency':60.0Hz},2021-02-13T02:15:32.861618,stored_at:2021-02-13T02:15:40.874308
249349514160884,sensor_2,{'voltage': 196v, 'frequency':59.9Hz},2021-02-13T02:15:32.849918,stored_at:2021-02-13T02:15:40.874455
