143891968191122,sensor_2,191v,2021-02-12T10:37:31.591528,stored_at:2021-02-12T10:38:03.610428
133921156554839,sensor_1,198v,2021-02-12T10:37:31.589816,stored_at:2021-02-12T10:38:03.610469
76720883756168,sensor_1,220.0v,2021-02-12T10:38:01.589927,stored_at:2021-02-12T10:38:03.610590
67657710676181,sensor_2,220.0v,2021-02-12T10:38:01.592591,stored_at:2021-02-12T10:38:03.610601
277079823690781,sensor_2,196v,2021-02-12T10:38:31.592804,stored_at:2021-02-12T10:38:35.610290
131021022340379,sensor_1,207v,2021-02-12T10:38:31.590633,stored_at:2021-02-12T10:38:35.610320
262891413630456,sensor_1,208v,2021-02-12T10:39:01.589837,stored_at:2021-02-12T10:39:07.610211
271723621308228,sensor_2,220.0v,2021-02-12T10:39:01.592418,stored_at:2021-02-12T10:39:07.610243
56028450184305,sensor_2,220.0v,2021-02-12T10:39:31.592824,stored_at:2021-02-12T10:39:39.610695
29563076121511,sensor_1,197v,2021-02-12T10:39:31.590734,stored_at:2021-02-12T10:39:39.610729
166142116992146,sensor_2,203v,2021-02-12T10:40:01.591992,stored_at:2021-02-12T10:40:11.610530
187643337203746,sensor_1,208v,2021-02-12T10:40:01.590596,stored_at:2021-02-12T10:40:11.610567
254282403868582,sensor_2,218v,2021-02-12T10:40:31.592281,stored_at:2021-02-12T10:40:43.610004
250921236383130,sensor_1,225v,2021-02-12T10:40:31.590666,stored_at:2021-02-12T10:40:43.610039
266931971581446,sensor_2,212v,2021-02-12T10:41:01.592091,stored_at:2021-02-12T10:41:15.610886
183192894621526,sensor_1,220.0v,2021-02-12T10:41:01.590500,stored_at:2021-02-12T10:41:15.610922
177366565484552,sensor_1,220.0v,2021-02-12T10:41:31.590689,stored_at:2021-02-12T10:41:47.609909
125559557025244,sensor_2,220.0v,2021-02-12T10:41:31.592409,stored_at:2021-02-12T10:41:47.609943
65798496377540,sensor_2,220.0v,2021-02-12T10:42:01.592682,stored_at:2021-02-12T10:42:19.610346
36589656785490,sensor_1,220.0v,2021-02-12T10:42:01.590146,stored_at:2021-02-12T10:42:19.610392
3212943605145,sensor_2,191v,2021-02-12T10:42:31.593172,stored_at:2021-02-12T10:42:51.610663
136800913109989,sensor_1,220.0v,2021-02-12T10:42:31.590315,stored_at:2021-02-12T10:42:51.610697
182205187408864,sensor_2,220.0v,2021-02-12T10:43:01.593286,stored_at:2021-02-12T10:43:23.610667
262443432987961,sensor_1,223v,2021-02-12T10:43:01.590451,stored_at:2021-02-12T10:43:23.610701
66083215710466,sensor_1,216v,2021-02-12T10:43:31.590154,stored_at:2021-02-12T10:43:55.610155
238866731312239,sensor_2,202v,2021-02-12T10:43:31.592474,stored_at:2021-02-12T10:43:55.610188
71306150777600,sensor_1,220.0v,2021-02-12T10:44:01.590637,stored_at:2021-02-12T10:44:27.610890
58272983265839,sensor_2,220.0v,2021-02-12T10:44:01.593256,stored_at:2021-02-12T10:44:27.610966
37520245973123,sensor_2,215v,2021-02-12T10:44:31.592766,stored_at:2021-02-12T10:44:59.610031
3169154432827,sensor_1,220.0v,2021-02-12T10:44:31.590165,stored_at:2021-02-12T10:44:59.610065
251484463315395,sensor_2,210v,2021-02-12T10:45:01.594151,stored_at:2021-02-12T10:45:31.610899
193953375049835,sensor_1,220.0v,2021-02-12T10:45:01.590603,stored_at:2021-02-12T10:45:31.610947
244793013063391,sensor_2,220.0v,2021-02-12T10:45:31.597831,stored_at:2021-02-12T10:46:03.610813
176850816227968,sensor_1,230v,2021-02-12T10:45:31.590637,stored_at:2021-02-12T10:46:03.610849
95291182308432,sensor_2,220.0v,2021-02-12T10:46:01.592583,stored_at:2021-02-12T10:46:03.610957
39102816195804,sensor_1,220.0v,2021-02-12T10:46:01.590010,stored_at:2021-02-12T10:46:03.610968
87778981247849,sensor_1,209v,2021-02-12T10:46:31.589892,stored_at:2021-02-12T10:46:35.610757
194301616751563,sensor_2,198v,2021-02-12T10:46:31.592403,stored_at:2021-02-12T10:46:35.610789
49100955082967,sensor_2,229v,2021-02-12T10:47:01.593287,stored_at:2021-02-12T10:47:07.610802
83890574514835,sensor_1,206v,2021-02-12T10:47:01.590579,stored_at:2021-02-12T10:47:07.610844
90019819001796,sensor_1,208v,2021-02-12T10:47:31.590310,stored_at:2021-02-12T10:47:39.610418
11943408084518,sensor_2,220.0v,2021-02-12T10:47:31.592725,stored_at:2021-02-12T10:47:39.610454
40214015336596,sensor_1,226v,2021-02-12T10:48:01.590424,stored_at:2021-02-12T10:48:11.610582
116073391529148,sensor_2,220.0v,2021-02-12T10:48:01.592375,stored_at:2021-02-12T10:48:11.610616
